Country;Year;Month;Currency;Gasoline ;Diesel
Croatia;2016;November;HRK;9,16;8,45
Croatia;2016;December;HRK;9,5;8,71
Croatia;2017;January;HRK;9,85;9
Croatia;2017;February;HRK;9,85;8,94
Croatia;2017;March;HRK;9,54;8,78
France;2014;January;EUR;1,5;1,33
France;2014;February;EUR;1,51;1,33
France;2014;March;EUR;1,5;1,31
France;2014;April;EUR;1,51;1,31
France;2014;May;EUR;1,52;1,31
France;2014;June;EUR;1,53;1,31
France;2014;July;EUR;1,54;1,31
France;2014;August;EUR;1,5;1,3
France;2014;September;EUR;1,5;1,29
France;2014;October;EUR;1,48;1,28
France;2014;November;EUR;1,43;1,24
France;2014;December;EUR;1,37;1,18
France;2015;January;EUR;1,29;1,13
France;2015;February;EUR;1,31;1,16
France;2015;March;EUR;1,39;1,23
France;2015;April;EUR;1,41;1,21
France;2015;May;EUR;1,45;1,25
France;2015;June;EUR;1,45;1,23
France;2015;July;EUR;1,45;1,2
France;2015;August;EUR;1,4;1,14
France;2015;September;EUR;1,32;1,11
France;2015;October;EUR;1,3;1,11
France;2015;November;EUR;1,3;1,11
France;2015;December;EUR;1,27;1,03
France;2016;January;EUR;1,27;1,03
France;2016;February;EUR;1,25;1,02
France;2016;March;EUR;1,25;1,05
France;2016;April;EUR;1,29;1,06
France;2016;May;EUR;1,33;1,13
France;2016;June;EUR;1,36;1,16
France;2016;July;EUR;1,31;1,13
France;2016;August;EUR;1,29;1,11
France;2016;September;EUR;1,3;1,12
France;2016;October;EUR;1,33;1,16
France;2016;November;EUR;1,33;1,16
France;2016;December;EUR;1,37;1,21
France;2017;January;EUR;1,42;1,27
France;2017;February;EUR;1,42;1,28
France;2017;March;EUR;1,39;1,26
